('Landslide Hot Chocolate', 'Hot Beverages', 'Beverages')
('Walrus Light Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Tell Tale Prepared Salad', 'Vegetables', 'Produce')
('Top Measure White Zinfandel Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Shady Lake Spaghetti', 'Starchy Foods', 'Starchy Foods')
('Fast Cheese Crackers', 'Snack Foods', 'Snack Foods')
('Pearl Imported Beer', 'Beer and Wine', 'Alcoholic Beverages')
('Portsmouth Chablis Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Nationeel Beef Jerky', 'Snack Foods', 'Snack Foods')
('Shady Lake Thai Rice', 'Starchy Foods', 'Starchy Foods')
('Colossal Ravioli', 'Starchy Foods', 'Starchy Foods')
('Club Sharp Cheddar Cheese', 'Dairy', 'Dairy')
('Horatio Low Fat Cookies', 'Snack Foods', 'Snack Foods')
('Bird Call Whitening Toothpast', 'Hygiene', 'Health and Hygiene')
('Blue Label Noodle Soup', 'Canned Soup', 'Canned Foods')
('Golden Lime Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Booker Strawberry Yogurt', 'Dairy', 'Dairy')
('Fabulous Cola', 'Carbonated Beverages', 'Beverages')
('Even Better Blueberry Yogurt', 'Dairy', 'Dairy')
('BBB Best Tomato Sauce', 'Baking Goods', 'Baking Goods')
('Bird Call Mint Mouthwash', 'Bathroom Products', 'Health and Hygiene')
('Denny Bees Wax Candles', 'Candles', 'Household')
('Golden Frozen Carrots', 'Vegetables', 'Frozen Foods')
('Medalist Spaghetti', 'Starchy Foods', 'Starchy Foods')
('Fabulous Diet Cola', 'Carbonated Beverages', 'Beverages')
('Hermanos Honey Dew', 'Fruit', 'Produce')
('Tri-State Lemons', 'Fruit', 'Produce')
('Tell Tale Mixed Nuts', 'Specialty', 'Produce')
('Sunset Silver Cleaner', 'Kitchen Products', 'Household')
('Ebony Honey Dew', 'Fruit', 'Produce')
('Tri-State Squash', 'Vegetables', 'Produce')
('Nationeel Fudge Cookies', 'Snack Foods', 'Snack Foods')
('Cormorant Paper Towels', 'Paper Products', 'Household')
('Denny Toilet Bowl Cleaner', 'Cleaning Supplies', 'Household')
('High Top Walnuts', 'Specialty', 'Produce')
('Carrington Turkey TV Dinner', 'Frozen Entrees', 'Frozen Foods')
('Fast Sugar Cookies', 'Snack Foods', 'Snack Foods')
('Hermanos Shitake Mushrooms', 'Vegetables', 'Produce')
('Washington Cranberry Juice', 'Pure Juice Beverages', 'Beverages')
('Tri-State Sweet Peas', 'Vegetables', 'Produce')
('Quick Seasoned Hamburger', 'Meat', 'Meat')
('CDR Pepper', 'Baking Goods', 'Baking Goods')
('Sunset Copper Pot Scrubber', 'Kitchen Products', 'Household')
('Super Salt', 'Baking Goods', 'Baking Goods')
('Steady Extra Moisture Shampoo', 'Bathroom Products', 'Health and Hygiene')
('Framton City Map', 'Miscellaneous', 'Checkout')
('Ebony Onions', 'Vegetables', 'Produce')
('Red Wing C-Size Batteries', 'Electrical', 'Household')
('Good Chardonnay', 'Beer and Wine', 'Alcoholic Beverages')
('BBB Best Grape Preserves', 'Jams and Jellies', 'Baking Goods')
('BBB Best Oregano', 'Baking Goods', 'Baking Goods')
('Hilltop Laundry Detergent', 'Bathroom Products', 'Health and Hygiene')
('Nationeel Frosted Cookies', 'Snack Foods', 'Snack Foods')
('Monarch Spaghetti', 'Starchy Foods', 'Starchy Foods')
('Tri-State Lettuce', 'Vegetables', 'Produce')
('Nationeel Salted Pretzels', 'Snack Foods', 'Snack Foods')
('Pleasant Canned Tomatos', 'Vegetables', 'Canned Foods')
('Club Low Fat Sour Cream', 'Dairy', 'Dairy')
('Hermanos Tangerines', 'Fruit', 'Produce')
('Giant Large Brown Eggs', 'Eggs', 'Eggs')
('Golden Low Fat French Fries', 'Vegetables', 'Frozen Foods')
('CDR Corn Oil', 'Baking Goods', 'Baking Goods')
('Good Light Beer', 'Beer and Wine', 'Alcoholic Beverages')
('Faux Products Childrens Aspirin', 'Pain Relievers', 'Health and Hygiene')
('Nationeel Golden Raisins', 'Snack Foods', 'Snack Foods')
('Sphinx Blueberry Muffins', 'Bread', 'Baked Goods')
('Golden Pancake Mix', 'Breakfast Foods', 'Frozen Foods')
('Fast Dried Apples', 'Snack Foods', 'Snack Foods')
('Booker Muenster Cheese', 'Dairy', 'Dairy')
('Big Time Frozen Sausage Pizza', 'Pizza', 'Frozen Foods')
('Fantastic English Muffins', 'Bread', 'Baked Goods')
('Consolidated Laundry Detergent', 'Bathroom Products', 'Health and Hygiene')
('Plato French Roast Coffee', 'Hot Beverages', 'Beverages')
('Lake Turkey Hot Dogs', 'Meat', 'Deli')
('Best Choice Beef Jerky', 'Snack Foods', 'Snack Foods')
('Ebony Plums', 'Fruit', 'Produce')
('High Top Onions', 'Vegetables', 'Produce')
('Ebony Mixed Nuts', 'Specialty', 'Produce')
('High Top Sweet Peas', 'Vegetables', 'Produce')
('Dollar Monthly Fashion Magazine', 'Magazines', 'Periodicals')
('Booker Sharp Cheddar Cheese', 'Dairy', 'Dairy')
('Shady Lake Ravioli', 'Starchy Foods', 'Starchy Foods')
('Lake Low Fat Bologna', 'Meat', 'Deli')
('Washington Berry Juice', 'Pure Juice Beverages', 'Beverages')
('Colossal Spaghetti', 'Starchy Foods', 'Starchy Foods')
('Fort West No Salt Popcorn', 'Snack Foods', 'Snack Foods')
('Plato Brown Sugar', 'Baking Goods', 'Baking Goods')
('Monarch Thai Rice', 'Starchy Foods', 'Starchy Foods')
('Nationeel Buttered Popcorn', 'Snack Foods', 'Snack Foods')
('Jumbo Egg Substitute', 'Eggs', 'Eggs')
('Faux Products Buffered Aspirin', 'Pain Relievers', 'Health and Hygiene')
('Cutting Edge Beef Bologna', 'Meat', 'Deli')
('Queen City Map', 'Miscellaneous', 'Checkout')
('BBB Best Apple Jam', 'Jams and Jellies', 'Baking Goods')
('Bravo Canned Peas', 'Vegetables', 'Canned Foods')
('Imagine Apple Cinnamon Waffles', 'Breakfast Foods', 'Frozen Foods')
('Plato Tomato Sauce', 'Baking Goods', 'Baking Goods')
('Even Better Muenster Cheese', 'Dairy', 'Dairy')
('Faux Products Tartar Control Toothpaste', 'Hygiene', 'Health and Hygiene')
('CDR Apple Jelly', 'Jams and Jellies', 'Baking Goods')
('Carlson String Cheese', 'Dairy', 'Dairy')
('Fort West Lemon Cookies', 'Snack Foods', 'Snack Foods')
('Atomic Mint Chocolate Bar', 'Candy', 'Snacks')
('Ship Shape Extra Lean Hamburger', 'Meat', 'Meat')
('Carrington Ice Cream Sandwich', 'Frozen Desserts', 'Frozen Foods')
('Golden Frozen Cauliflower', 'Vegetables', 'Frozen Foods')
('Super Strawberry Jam', 'Jams and Jellies', 'Baking Goods')
('Denny Scented Tissue', 'Paper Products', 'Household')
('Plato Vegetable Oil', 'Baking Goods', 'Baking Goods')
('Horatio Potato Chips', 'Snack Foods', 'Snack Foods')
('Even Better Whole Milk', 'Dairy', 'Dairy Drink')
('Portsmouth Chardonnay', 'Beer and Wine', 'Alcoholic Beverages')
('Red Wing 25 Watt Lightbulb', 'Electrical', 'Household')
('Jardon Rice Medly', 'Starchy Foods', 'Starchy Foods')
('Big Time Lime Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Club Cheese Spread', 'Dairy', 'Dairy')
('Horatio Mini Donuts', 'Snack Foods', 'Snack Foods')
('Sunset Screw Driver', 'Hardware', 'Household')
('Carlson 1\\% Milk', 'Dairy', 'Dairy Drink')
('Jardon Spaghetti', 'Starchy Foods', 'Starchy Foods')
('Better Canned Beets', 'Vegetables', 'Canned Foods')
('Imagine Frozen Chicken Wings', 'Meat', 'Frozen Foods')
('Cutting Edge Sliced Ham', 'Meat', 'Deli')
('Landslide Creamy Peanut Butter', 'Jams and Jellies', 'Baking Goods')
('Red Spade Turkey Hot Dogs', 'Meat', 'Deli')
('Akron Eyeglass Screwdriver', 'Hardware', 'Checkout')
('Sunset 25 Watt Lightbulb', 'Electrical', 'Household')
('Landslide Brown Sugar', 'Baking Goods', 'Baking Goods')
('PigTail Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Tell Tale Corn on the Cob', 'Vegetables', 'Produce')
('Gauss Monthly Home Magazine', 'Magazines', 'Periodicals')
('Walrus Chablis Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Consolidated Whitening Toothpast', 'Hygiene', 'Health and Hygiene')
('Just Right Canned Tomatos', 'Vegetables', 'Canned Foods')
('Sphinx Wheat Bread', 'Bread', 'Baked Goods')
('Johnson Corn Puffs', 'Breakfast Foods', 'Breakfast Foods')
('Carrington Frozen Peas', 'Vegetables', 'Frozen Foods')
('Fast Avocado Dip', 'Snack Foods', 'Snack Foods')
('CDR Vegetable Oil', 'Baking Goods', 'Baking Goods')
('Portsmouth White Zinfandel Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Club Chocolate Milk', 'Dairy', 'Dairy Drink')
('Skinner Cola', 'Carbonated Beverages', 'Beverages')
('Tell Tale Tomatos', 'Vegetables', 'Produce')
('High Top Green Pepper', 'Vegetables', 'Produce')
('Hermanos Canned Peanuts', 'Specialty', 'Produce')
('Atomic Spicy Mints', 'Candy', 'Snacks')
('Best Choice Dried Apricots', 'Snack Foods', 'Snack Foods')
('Swell Canned Peaches', 'Fruit', 'Canned Products')
('Red Wing Large Sponge', 'Kitchen Products', 'Household')
('Washington Apple Juice', 'Pure Juice Beverages', 'Beverages')
('Ebony Baby Onion', 'Vegetables', 'Produce')
('Sunset Economy Toilet Brush', 'Bathroom Products', 'Household')
('Carlson Cheese Spread', 'Dairy', 'Dairy')
('Tri-State Tomatos', 'Vegetables', 'Produce')
('Excellent Berry Juice', 'Pure Juice Beverages', 'Beverages')
('Green Ribbon Canned Peaches', 'Fruit', 'Canned Products')
('Hermanos Onions', 'Vegetables', 'Produce')
('High Quality Soft Napkins', 'Paper Products', 'Household')
('Plato Extra Chunky Peanut Butter', 'Jams and Jellies', 'Baking Goods')
('Tell Tale Fancy Plums', 'Fruit', 'Produce')
('Excellent Cranberry Juice', 'Pure Juice Beverages', 'Beverages')
('Hermanos Sweet Peas', 'Vegetables', 'Produce')
('Mighty Good Monthly Auto Magazine', 'Magazines', 'Periodicals')
('Best Choice Low Fat BBQ Chips', 'Snack Foods', 'Snack Foods')
('Imagine Lemon Popsicles', 'Frozen Desserts', 'Frozen Foods')
('High Top Garlic', 'Vegetables', 'Produce')
('Steady 200 MG Ibuprofen', 'Pain Relievers', 'Health and Hygiene')
('Red Wing Scissors', 'Hardware', 'Household')
('Musial White Chocolate Bar', 'Candy', 'Snacks')
('Tell Tale Sweet Peas', 'Vegetables', 'Produce')
('Blue Label Chicken Soup', 'Canned Soup', 'Canned Foods')
('Tri-State Garlic', 'Vegetables', 'Produce')
('Pearl Merlot Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Hermanos Macintosh Apples', 'Fruit', 'Produce')
('Best Choice Sugar Cookies', 'Snack Foods', 'Snack Foods')
('Token Apple Drink', 'Drinks', 'Beverages')
('Great White Bread', 'Bread', 'Baked Goods')
('Denny Economy Toilet Brush', 'Bathroom Products', 'Household')
('Tip Top Lox', 'Seafood', 'Seafood')
('Colossal Thai Rice', 'Starchy Foods', 'Starchy Foods')
('Blue Medal Small Brown Eggs', 'Eggs', 'Eggs')
('Urban Egg Substitute', 'Eggs', 'Eggs')
('Best Choice Chocolate Donuts', 'Snack Foods', 'Snack Foods')
('High Top Golden Delcious Apples', 'Fruit', 'Produce')
('Bravo Fancy Canned Sardines', 'Canned Sardines', 'Canned Foods')
('Just Right Regular Ramen Soup', 'Canned Soup', 'Canned Foods')
('Super Grape Preserves', 'Jams and Jellies', 'Baking Goods')
('High Quality Screw Driver', 'Hardware', 'Household')
('Imagine Frozen Cauliflower', 'Vegetables', 'Frozen Foods')
('Colony Wheat Bread', 'Bread', 'Baked Goods')
('Carlson Strawberry Yogurt', 'Dairy', 'Dairy')
('Better Large Canned Shrimp', 'Canned Shrimp', 'Canned Foods')
('PigTail Frozen Chicken Thighs', 'Meat', 'Frozen Foods')
('Curlew Scallops', 'Seafood', 'Seafood')
('Hermanos Golden Delcious Apples', 'Fruit', 'Produce')
('Cormorant Glass Cleaner', 'Cleaning Supplies', 'Household')
('Pleasant Canned Tuna in Oil', 'Canned Tuna', 'Canned Foods')
('Token Apple Juice', 'Pure Juice Beverages', 'Beverages')
('Best Choice Cheese Dip', 'Snack Foods', 'Snack Foods')
('Nationeel Strawberry Fruit Roll', 'Snack Foods', 'Snack Foods')
('Fort West Fudge Cookies', 'Snack Foods', 'Snack Foods')
('Fast Cheese Dip', 'Snack Foods', 'Snack Foods')
('Red Spade Sliced Turkey', 'Meat', 'Deli')
('Cormorant Copper Pot Scrubber', 'Kitchen Products', 'Household')
('Golden Frozen Cheese Pizza', 'Pizza', 'Frozen Foods')
('Big Time Turkey TV Dinner', 'Frozen Entrees', 'Frozen Foods')
('Carrington Frozen Chicken Wings', 'Meat', 'Frozen Foods')
('Consolidated HCL Nasal Spray', 'Decongestants', 'Health and Hygiene')
('Nationeel Sesame Crackers', 'Snack Foods', 'Snack Foods')
('Hilltop Childrens Cold Remedy', 'Cold Remedies', 'Health and Hygiene')
('Moms Roasted Chicken', 'Meat', 'Deli')
('Best Wheat Puffs', 'Breakfast Foods', 'Breakfast Foods')
('Portsmouth Imported Beer', 'Beer and Wine', 'Alcoholic Beverages')
('Red Spade Foot-Long Hot Dogs', 'Meat', 'Deli')
('Carlson Sour Cream', 'Dairy', 'Dairy')
('BBB Best Regular Coffee', 'Hot Beverages', 'Beverages')
('High Top Cauliflower', 'Vegetables', 'Produce')
('Pleasant Canned Peas', 'Vegetables', 'Canned Foods')
('Fabulous Cream Soda', 'Carbonated Beverages', 'Beverages')
('Prelude Rosy Sunglasses', 'Specialty', 'Carousel')
('Modell English Muffins', 'Bread', 'Baked Goods')
('CDR Brown Sugar', 'Baking Goods', 'Baking Goods')
('Carlson Buttermilk', 'Dairy', 'Dairy Drink')
('Sunset Paper Towels', 'Paper Products', 'Household')
('Walrus Imported Beer', 'Beer and Wine', 'Alcoholic Beverages')
('CDR French Roast Coffee', 'Hot Beverages', 'Beverages')
('Musial Semi-Sweet Chocolate Bar', 'Candy', 'Snacks')
('Gulf Coast Semi-Sweet Chocolate Bar', 'Candy', 'Snacks')
('Best Choice Low Fat Popcorn', 'Snack Foods', 'Snack Foods')
('Best Choice Graham Crackers', 'Snack Foods', 'Snack Foods')
('Bravo Fancy Canned Anchovies', 'Canned Anchovies', 'Canned Foods')
('Modell Wheat Bread', 'Bread', 'Baked Goods')
('Washington Orange Juice', 'Pure Juice Beverages', 'Beverages')
('Fabulous Orange Juice', 'Pure Juice Beverages', 'Beverages')
('National Large Brown Eggs', 'Eggs', 'Eggs')
('Big Time Frozen Cauliflower', 'Vegetables', 'Frozen Foods')
('High Quality Scented Toilet Tissue', 'Paper Products', 'Household')
('Pleasant Vegetable Soup', 'Canned Soup', 'Canned Foods')
('Even Better Strawberry Yogurt', 'Dairy', 'Dairy')
('Gulf Coast Malted Milk Balls', 'Candy', 'Snacks')
('Even Better Jack Cheese', 'Dairy', 'Dairy')
('Cutting Edge Cole Slaw', 'Side Dishes', 'Deli')
('Great Blueberry Muffins', 'Bread', 'Baked Goods')
('Pleasant Chicken Soup', 'Canned Soup', 'Canned Foods')
('James Bay Eyeglass Screwdriver', 'Hardware', 'Checkout')
('Red Wing D-Size Batteries', 'Electrical', 'Household')
('Skinner Strawberry Drink', 'Drinks', 'Beverages')
('High Quality Copper Cleaner', 'Kitchen Products', 'Household')
('CDR Tomato Sauce', 'Baking Goods', 'Baking Goods')
('Pearl White Zinfandel Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Fast Low Fat BBQ Chips', 'Snack Foods', 'Snack Foods')
('Super Vegetable Oil', 'Baking Goods', 'Baking Goods')
('Fort West Grape Fruit Roll', 'Snack Foods', 'Snack Foods')
('Imagine Frozen Pepperoni Pizza', 'Pizza', 'Frozen Foods')
('Golden Frozen Sausage Pizza', 'Pizza', 'Frozen Foods')
('Carrington Frozen Chicken Thighs', 'Meat', 'Frozen Foods')
('Landslide Low Fat Apple Butter', 'Jams and Jellies', 'Baking Goods')
('Cutting Edge Potato Salad', 'Side Dishes', 'Deli')
('Great English Muffins', 'Bread', 'Baked Goods')
('Cormorant Counter Cleaner', 'Cleaning Supplies', 'Household')
('PigTail Grape Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Booker 2\\% Milk', 'Dairy', 'Dairy Drink')
('Blue Label Canned Beets', 'Vegetables', 'Canned Foods')
('Bird Call Buffered Aspirin', 'Pain Relievers', 'Health and Hygiene')
('Gerolli Extra Lean Hamburger', 'Meat', 'Meat')
('Fast Salted Pretzels', 'Snack Foods', 'Snack Foods')
('Nationeel Chocolate Donuts', 'Snack Foods', 'Snack Foods')
('Lake Sliced Ham', 'Meat', 'Deli')
('American Low Fat Cole Slaw', 'Side Dishes', 'Deli')
('Sunset 75 Watt Lightbulb', 'Electrical', 'Household')
('Hermanos Plums', 'Fruit', 'Produce')
('Excellent Orange Juice', 'Pure Juice Beverages', 'Beverages')
('BBB Best Extra Chunky Peanut Butter', 'Jams and Jellies', 'Baking Goods')
('Gorilla Sharp Cheddar Cheese', 'Dairy', 'Dairy')
('Just Right Chicken Soup', 'Canned Soup', 'Canned Foods')
('High Quality Scissors', 'Hardware', 'Household')
('Best Choice Buttered Popcorn', 'Snack Foods', 'Snack Foods')
('High Top Limes', 'Fruit', 'Produce')
('Hilltop Tartar Control Toothpaste', 'Hygiene', 'Health and Hygiene')
('Fantastic Rye Bread', 'Bread', 'Baked Goods')
('Plato Hot Chocolate', 'Hot Beverages', 'Beverages')
('Black Tie Eyeglass Screwdriver', 'Hardware', 'Checkout')
('Medalist Ravioli', 'Starchy Foods', 'Starchy Foods')
('Blue Label Regular Ramen Soup', 'Canned Soup', 'Canned Foods')
('Moms Pimento Loaf', 'Meat', 'Deli')
('Red Spade Corned Beef', 'Meat', 'Deli')
('Sunset Room Freshener', 'Cleaning Supplies', 'Household')
('Consolidated Angled Toothbrush', 'Bathroom Products', 'Health and Hygiene')
('Carrington Frozen Corn', 'Vegetables', 'Frozen Foods')
('Denny Scented Toilet Tissue', 'Paper Products', 'Household')
('Red Wing Toilet Bowl Cleaner', 'Cleaning Supplies', 'Household')
('Consolidated 200 MG Acetominifen', 'Pain Relievers', 'Health and Hygiene')
('High Top Red Pepper', 'Vegetables', 'Produce')
('PigTail Turkey TV Dinner', 'Frozen Entrees', 'Frozen Foods')
('Red Wing Glass Cleaner', 'Cleaning Supplies', 'Household')
('Booker Mild Cheddar Cheese', 'Dairy', 'Dairy')
('High Quality Bees Wax Candles', 'Candles', 'Household')
('Gulf Coast Tasty Candy Bar', 'Candy', 'Snacks')
('Just Right Canned Beets', 'Vegetables', 'Canned Foods')
('Landslide Decaf Coffee', 'Hot Beverages', 'Beverages')
('American Potato Salad', 'Side Dishes', 'Deli')
('Ebony Red Pepper', 'Vegetables', 'Produce')
('Tell Tale Potatos', 'Vegetables', 'Produce')
('Big Time Low Fat Waffles', 'Breakfast Foods', 'Frozen Foods')
('Booker Large Curd Cottage Cheese', 'Dairy', 'Dairy')
('Red Spade Sliced Chicken', 'Meat', 'Deli')
('Tri-State Cantelope', 'Fruit', 'Produce')
('Horatio Chocolate Chip Cookies', 'Snack Foods', 'Snack Foods')
('Imagine Chicken TV Dinner', 'Frozen Entrees', 'Frozen Foods')
('Johnson Wheat Puffs', 'Breakfast Foods', 'Breakfast Foods')
('Moms Foot-Long Hot Dogs', 'Meat', 'Deli')
('Nationeel Apple Fruit Roll', 'Snack Foods', 'Snack Foods')
('Better Noodle Soup', 'Canned Soup', 'Canned Foods')
('Token Berry Juice', 'Pure Juice Beverages', 'Beverages')
('High Quality Tissues', 'Paper Products', 'Household')
('Plato Apple Jelly', 'Jams and Jellies', 'Baking Goods')
('Hilltop 200 MG Acetominifen', 'Pain Relievers', 'Health and Hygiene')
('Fantastic Muffins', 'Bread', 'Baked Goods')
('Atomic Malted Milk Balls', 'Candy', 'Snacks')
('Tell Tale Red Pepper', 'Vegetables', 'Produce')
('Big Time Frozen Pepperoni Pizza', 'Pizza', 'Frozen Foods')
('Fantastic Pumpernickel Bread', 'Bread', 'Baked Goods')
('Gulf Coast Mint Chocolate Bar', 'Candy', 'Snacks')
('High Quality Large Sponge', 'Kitchen Products', 'Household')
('Tell Tale Dried Mushrooms', 'Vegetables', 'Produce')
('Urban Large Eggs', 'Eggs', 'Eggs')
('Carrington Lemon Popsicles', 'Frozen Desserts', 'Frozen Foods')
('BBB Best Columbian Coffee', 'Hot Beverages', 'Beverages')
('Choice Mint Chocolate Bar', 'Candy', 'Snacks')
('Moms Low Fat Cole Slaw', 'Side Dishes', 'Deli')
('Big Time Frozen Peas', 'Vegetables', 'Frozen Foods')
('Imagine Frozen Mushroom Pizza', 'Pizza', 'Frozen Foods')
('Best Choice Raspberry Fruit Roll', 'Snack Foods', 'Snack Foods')
('Tell Tale Squash', 'Vegetables', 'Produce')
('Imagine Beef TV Dinner', 'Frozen Entrees', 'Frozen Foods')
('Tell Tale Shitake Mushrooms', 'Vegetables', 'Produce')
('Skinner Apple Drink', 'Drinks', 'Beverages')
('PigTail Frozen Pepperoni Pizza', 'Pizza', 'Frozen Foods')
('Red Wing Counter Cleaner', 'Cleaning Supplies', 'Household')
('CDR Grape Preserves', 'Jams and Jellies', 'Baking Goods')
('Club Strawberry Yogurt', 'Dairy', 'Dairy')
('Gauss Monthly Sports Magazine', 'Magazines', 'Periodicals')
('Golden Frozen Chicken Breast', 'Meat', 'Frozen Foods')
('Fast Dried Dates', 'Snack Foods', 'Snack Foods')
('Better Beef Soup', 'Canned Soup', 'Canned Foods')
('Best Choice Chocolate Chip Cookies', 'Snack Foods', 'Snack Foods')
('Steady Toothpaste', 'Hygiene', 'Health and Hygiene')
('Dual City Scallops', 'Seafood', 'Seafood')
('Token Orange Juice', 'Pure Juice Beverages', 'Beverages')
('Jeffers Corn Puffs', 'Breakfast Foods', 'Breakfast Foods')
('BBB Best Decaf Coffee', 'Hot Beverages', 'Beverages')
('Gauss Monthly Fashion Magazine', 'Magazines', 'Periodicals')
('Ebony Fuji Apples', 'Fruit', 'Produce')
('Carlson Low Fat Sour Cream', 'Dairy', 'Dairy')
('American Foot-Long Hot Dogs', 'Meat', 'Deli')
('Landslide Grape Preserves', 'Jams and Jellies', 'Baking Goods')
('Bird Call Laundry Detergent', 'Bathroom Products', 'Health and Hygiene')
('Just Right Vegetable Soup', 'Canned Soup', 'Canned Foods')
('Fast Frosted Donuts', 'Snack Foods', 'Snack Foods')
('Pleasant Fancy Canned Anchovies', 'Canned Anchovies', 'Canned Foods')
('Red Wing Bees Wax Candles', 'Candles', 'Household')
('Big City Canned Mixed Fruit', 'Fruit', 'Canned Products')
('Steady Multi-Symptom Cold Remedy', 'Cold Remedies', 'Health and Hygiene')
('Tri-State Walnuts', 'Specialty', 'Produce')
('Musial Mint Chocolate Bar', 'Candy', 'Snacks')
('Shady Lake Rice Medly', 'Starchy Foods', 'Starchy Foods')
('Blue Label Chicken Noodle Soup', 'Canned Soup', 'Canned Foods')
('Consolidated Extra Moisture Shampoo', 'Bathroom Products', 'Health and Hygiene')
('Fort West Corn Chips', 'Snack Foods', 'Snack Foods')
('Colony White Bread', 'Bread', 'Baked Goods')
('Better Canned Tomatos', 'Vegetables', 'Canned Foods')
('Good Chablis Wine', 'Beer and Wine', 'Alcoholic Beverages')
('High Top Party Nuts', 'Specialty', 'Produce')
('High Top Almonds', 'Specialty', 'Produce')
('Best Grits', 'Breakfast Foods', 'Breakfast Foods')
('Faux Products Apricot Shampoo', 'Bathroom Products', 'Health and Hygiene')
('Fast Buttered Popcorn', 'Snack Foods', 'Snack Foods')
('Landslide Strawberry Preserves', 'Jams and Jellies', 'Baking Goods')
('PigTail Orange Popsicles', 'Frozen Desserts', 'Frozen Foods')
('National Small Brown Eggs', 'Eggs', 'Eggs')
('CDR Salt', 'Baking Goods', 'Baking Goods')
('Hermanos Baby Onion', 'Vegetables', 'Produce')
('Colony Muffins', 'Bread', 'Baked Goods')
('High Top Red Delcious Apples', 'Fruit', 'Produce')
('PigTail Frozen Cauliflower', 'Vegetables', 'Frozen Foods')
('Big Time Grape Popsicles', 'Frozen Desserts', 'Frozen Foods')
('Tell Tale Plums', 'Fruit', 'Produce')
('Even Better Chocolate Milk', 'Dairy', 'Dairy Drink')
('Excellent Diet Soda', 'Carbonated Beverages', 'Beverages')
('High Quality Silver Cleaner', 'Kitchen Products', 'Household')
('PigTail Frozen Chicken Breast', 'Meat', 'Frozen Foods')
('Club Mild Cheddar Cheese', 'Dairy', 'Dairy')
('Hermanos Green Pepper', 'Vegetables', 'Produce')
('Denny Screw Driver', 'Hardware', 'Household')
('Fort West Potato Chips', 'Snack Foods', 'Snack Foods')
('Good Chardonnay Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Faux Products Silky Smooth Hair Conditioner', 'Bathroom Products', 'Health and Hygiene')
('Moms Beef Bologna', 'Meat', 'Deli')
('High Top Corn on the Cob', 'Vegetables', 'Produce')
('Tri-State Dried Mushrooms', 'Vegetables', 'Produce')
('Top Measure Light Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Discover Rice Medly', 'Starchy Foods', 'Starchy Foods')
('Ebony Potatos', 'Vegetables', 'Produce')
('Mighty Good Monthly Sports Magazine', 'Magazines', 'Periodicals')
('Nationeel No Salt Popcorn', 'Snack Foods', 'Snack Foods')
('Moms Cole Slaw', 'Side Dishes', 'Deli')
('Denny Plastic Knives', 'Plastic Products', 'Household')
('Golden Frozen Pepperoni Pizza', 'Pizza', 'Frozen Foods')
('Monarch Manicotti', 'Starchy Foods', 'Starchy Foods')
('CDR Grape Jam', 'Jams and Jellies', 'Baking Goods')
('Big Time Frozen Chicken Breast', 'Meat', 'Frozen Foods')
('Fantastic Blueberry Muffins', 'Bread', 'Baked Goods')
('Good White Zinfandel Wine', 'Beer and Wine', 'Alcoholic Beverages')
('Pleasant Regular Ramen Soup', 'Canned Soup', 'Canned Foods')
('Steady Childrens Cold Remedy', 'Cold Remedies', 'Health and Hygiene')
('High Top Lemons', 'Fruit', 'Produce')
('Carlson Jack Cheese', 'Dairy', 'Dairy')
('Better Chicken Noodle Soup', 'Canned Soup', 'Canned Foods')
('Skinner Diet Soda', 'Carbonated Beverages', 'Beverages')
('Fort West Low Fat Chips', 'Snack Foods', 'Snack Foods')
('High Quality Toilet Paper', 'Paper Products', 'Household')
('Footnote Seasoned Hamburger', 'Meat', 'Meat')
('Golden Frozen Chicken Wings', 'Meat', 'Frozen Foods')
('Sunset Scented Toilet Tissue', 'Paper Products', 'Household')
('Pearl Light Beer', 'Beer and Wine', 'Alcoholic Beverages')
('Sphinx Cranberry Muffins', 'Bread', 'Baked Goods')
('Steady Conditioning Shampoo', 'Bathroom Products', 'Health and Hygiene')
('Landslide Chunky Peanut Butter', 'Jams and Jellies', 'Baking Goods')
('Better Turkey Noodle Soup', 'Canned Soup', 'Canned Foods')
('Best Choice Sesame Crackers', 'Snack Foods', 'Snack Foods')
('Club Blueberry Yogurt', 'Dairy', 'Dairy')
('Tri-State Red Delcious Apples', 'Fruit', 'Produce')
('PigTail Home Style French Fries', 'Vegetables', 'Frozen Foods')
('Ebony Green Pepper', 'Vegetables', 'Produce')
('Fast No Salt Popcorn', 'Snack Foods', 'Snack Foods')
('Cormorant Tissues', 'Paper Products', 'Household')
('Better Chicken Ramen Soup', 'Canned Soup', 'Canned Foods')
('Faux Products Childrens Cold Remedy', 'Cold Remedies', 'Health and Hygiene')
('American Sliced Chicken', 'Meat', 'Deli')
